COdice;Ragione Sociale;Tipo soggetto;Ditta  AA7;Annotazioni;Titolare P.IVA;Partita iva;Codice FIscale;Indirizzi
100016;Photospace;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9057231581;9057231581;0
100017;Trupe;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9753787332;9753787332;0
100018;Brainlounge;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9396964670;9396964670;0
100019;Livefish;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8305290336;8305290336;0
100020;Wikivu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5260071298;5260071298;0
100021;Brightdog;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1798114127;1798114127;0
100022;Oodoo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2029177156;2029177156;0
100023;Skimia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9822755333;9822755333;0
100024;Voonder;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1318303370;1318303370;0
100025;Quimm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1108476503;1108476503;0
100026;Jaxnation;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8894487911;8894487911;0
100027;Zava;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1352371162;1352371162;0
100028;Gabtune;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4856935186;4856935186;0
100029;Pixoboo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7071988471;7071988471;0
100030;Yamia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9310667982;9310667982;0
100031;Vitz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2220576825;2220576825;0
100032;Dabtype;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2342436017;2342436017;0
100033;Jabbertype;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3986217916;3986217916;0
100034;LiveZ;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4315255610;4315255610;0
100035;Brainsphere;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6906124110;6906124110;0
100036;Gabspot;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3024493190;3024493190;0
100037;Skibox;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6939827145;6939827145;0
100038;Jaxspan;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7447491659;7447491659;0
100039;Eare;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5055038098;5055038098;0
100040;Tagcat;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1372050973;1372050973;0
100041;Twitternation;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9179659942;9179659942;0
100042;Ooba;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0009040102;0009040102;0
100043;Trunyx;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4293266062;4293266062;0
100044;Feedbug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3192108193;3192108193;0
100045;Skinix;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3263552287;3263552287;0
100046;Izio;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0257091793;0257091793;0
100047;Jaxbean;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9064829608;9064829608;0
100048;Muxo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0356793303;0356793303;0
100049;Divape;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8442937544;8442937544;0
100050;Skyba;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6592740388;6592740388;0
100051;Feedfish;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0222441186;0222441186;0
100052;Quimm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2981823582;2981823582;0
100053;Bluejam;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8072176838;8072176838;0
100054;Yombu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2278829300;2278829300;0
100055;Yakijo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3736571658;3736571658;0
100056;Topicstorm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8798551116;8798551116;0
100057;Tagopia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5621411641;5621411641;0
100058;Agivu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5233506815;5233506815;0
100059;Avamm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9341311896;9341311896;0
100060;Kwideo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6545301322;6545301322;0
100061;Meezzy;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1998581993;1998581993;0
100062;Skivee;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0527333891;0527333891;0
100063;Livepath;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5495851013;5495851013;0
100064;Oyoloo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7119094416;7119094416;0
100065;Thoughtbridge;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9702075459;9702075459;0
100066;Quamba;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9371427604;9371427604;0
100067;Camimbo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8927370996;8927370996;0
100068;Tazz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0176293019;0176293019;0
100069;Meezzy;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5686428913;5686428913;0
100070;Roomm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5694827503;5694827503;0
100071;Edgetag;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5894164834;5894164834;0
100072;Realcube;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1643043420;1643043420;0
100073;Voonix;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6800433985;6800433985;0
100074;Gabtune;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0958281262;0958281262;0
100075;Photospace;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0540115266;0540115266;0
100076;Thoughtbridge;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1790733405;1790733405;0
100077;Buzzshare;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9059713311;9059713311;0
100078;Twiyo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6853458745;6853458745;0
100079;Trunyx;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2446444202;2446444202;0
100080;Voolith;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6909981340;6909981340;0
100081;Skaboo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2274410739;2274410739;0
100082;InnoZ;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8586492213;8586492213;0
100083;Rhycero;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3938767421;3938767421;0
100084;Quinu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4915680428;4915680428;0
100085;Muxo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8383335210;8383335210;0
100086;Fiveclub;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5653136328;5653136328;0
100087;Browsezoom;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5860192681;5860192681;0
100088;Izio;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2621715273;2621715273;0
100089;Oyonder;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0211285439;0211285439;0
100090;Gevee;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6133614285;6133614285;0
100091;Agimba;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8289745109;8289745109;0
100092;Feedbug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2593226285;2593226285;0
100093;Oyope;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9227470344;9227470344;0
100094;Vipe;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7140559430;7140559430;0
100095;Jabbertype;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6438385646;6438385646;0
100096;Gabspot;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3594573559;3594573559;0
100097;Eamia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1085900053;1085900053;0
100098;Twiyo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3110213338;3110213338;0
100099;Gabspot;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8896570824;8896570824;0
100100;Divavu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5932228016;5932228016;0
100101;Feednation;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7833471976;7833471976;0
100102;Pixonyx;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4068870365;4068870365;0
100103;Flipopia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8038735439;8038735439;0
100104;Avamba;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5834803733;5834803733;0
100105;Linktype;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7732361075;7732361075;0
100106;Skipstorm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7067661803;7067661803;0
100107;Jabbersphere;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4155280140;4155280140;0
100108;Babbleset;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9471025745;9471025745;0
100109;Vitz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0713430788;0713430788;0
100110;Twitternation;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2995664406;2995664406;0
100111;Thoughtstorm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5719251871;5719251871;0
100112;Yata;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1978565569;1978565569;0
100113;Midel;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1582753644;1582753644;0
100114;Linklinks;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4821166984;4821166984;0
100115;Skipfire;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4510473966;4510473966;0
100116;Livetube;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7623593722;7623593722;0
100117;Devpulse;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4883857646;4883857646;0
100118;Skivee;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1905458533;1905458533;0
100119;Gabcube;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8868686554;8868686554;0
100120;Skyvu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0763252603;0763252603;0
100121;Zoomzone;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9090468137;9090468137;0
100122;Yoveo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5184861211;5184861211;0
100123;Thoughtworks;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4456850345;4456850345;0
100124;Dynabox;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7513445060;7513445060;0
100125;Jabberbean;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2074089392;2074089392;0
100126;Photobug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5156675441;5156675441;0
100127;Mynte;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7924656359;7924656359;0
100128;Topiczoom;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6759892631;6759892631;0
100129;Mycat;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7822392352;7822392352;0
100130;Yotz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0840826583;0840826583;0
100131;Voomm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8037871363;8037871363;0
100132;Topiclounge;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5097743342;5097743342;0
100133;Midel;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1816700193;1816700193;0
100134;Devshare;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7162595758;7162595758;0
100135;Dabfeed;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4148608217;4148608217;0
100136;Topicshots;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6937017960;6937017960;0
100137;Twinte;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8587418114;8587418114;0
100138;Dynazzy;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6888869970;6888869970;0
100139;Mudo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7374715145;7374715145;0
100140;Thoughtstorm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0240770447;0240770447;0
100141;Oozz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3347607449;3347607449;0
100142;Mymm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3597885934;3597885934;0
100143;Feedspan;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3984566840;3984566840;0
100144;Kayveo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4641050430;4641050430;0
100145;Feedfish;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3059441448;3059441448;0
100146;Browsebug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3165175314;3165175314;0
100147;Realcube;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2701309034;2701309034;0
100148;Dynazzy;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5051749860;5051749860;0
100149;Quinu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1972219286;1972219286;0
100150;Dabshots;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5899409568;5899409568;0
100151;Meetz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5088257368;5088257368;0
100152;Quinu;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7028637476;7028637476;0
100153;Edgewire;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8748381020;8748381020;0
100154;Babbleopia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8905530575;8905530575;0
100155;Zazio;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3037205008;3037205008;0
100156;Youopia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2784572641;2784572641;0
100157;Leexo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0512339058;0512339058;0
100158;Skipstorm;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0534224652;0534224652;0
100159;Skyble;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6045657403;6045657403;0
100160;Tagchat;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7819559292;7819559292;0
100161;Kimia;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2145314164;2145314164;0
100162;Realcube;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3583846125;3583846125;0
100163;Meembee;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2273777086;2273777086;0
100164;Realmix;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6349880293;6349880293;0
100165;Eabox;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7273159360;7273159360;0
100166;Dabtype;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0558139027;0558139027;0
100167;Buzzshare;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3732230120;3732230120;0
100168;Jaxbean;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4933300356;4933300356;0
100169;Vinder;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9246594320;9246594320;0
100170;Izio;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7909996632;7909996632;0
100171;Meejo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0839775377;0839775377;0
100172;Yotz;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;7215655377;7215655377;0
100173;Gabvine;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1710736879;1710736879;0
100174;Wordware;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0212583328;0212583328;0
100175;Zoozzy;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0434708399;0434708399;0
100176;Feedbug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8173636591;8173636591;0
100177;Twitterwire;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5806460452;5806460452;0
100178;Riffwire;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8767070086;8767070086;0
100179;Miboo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0654049688;0654049688;0
100180;Meembee;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4467280227;4467280227;0
100181;Browsedrive;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6619342949;6619342949;0
100182;Feedbug;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;1723670561;1723670561;0
100183;Browsedrive;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8402622194;8402622194;0
100184;Zoomcast;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3696627739;3696627739;0
100185;Edgetag;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9015435235;9015435235;0
100186;Realpoint;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;6799718160;6799718160;0
100187;Skynoodle;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;3341274340;3341274340;0
100188;Kayveo;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;2758583615;2758583615;0
100189;Thoughtblab;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;5027291728;5027291728;0
100190;Yadel;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;0386106320;0386106320;0
100191;Photobean;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;9795116479;9795116479;0
100192;Jetwire;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;8241361459;8241361459;0
100193;Yodel;Altro;Ditta attiva per AA7 (Inizio/Variaz./Cessaz.Attività - Società);Senza annotazioni;no;4793594093;4793594093;0
